iter	Passed	Remaining
0	1	881
1	3	863
2	4	816
3	6	806
4	8	797
5	9	782
6	10	774
7	12	781
8	14	783
9	15	779
10	17	777
11	19	774
12	20	772
13	22	773
14	23	771
15	25	768
16	26	766
17	29	783
18	30	782
19	32	781
20	34	779
21	35	777
22	37	776
23	39	775
24	40	771
25	42	770
26	43	768
27	45	767
28	47	764
29	48	761
30	50	761
31	51	759
32	54	765
33	55	762
34	57	761
35	58	758
36	60	756
37	62	755
38	63	752
39	65	750
40	67	750
41	68	749
42	70	747
43	72	746
44	73	745
45	75	742
46	76	741
47	79	746
48	80	743
49	82	740
50	83	737
51	85	735
52	86	732
53	88	731
54	90	729
55	91	727
56	93	725
57	95	724
58	96	722
59	98	720
60	99	718
61	101	717
62	103	714
63	104	712
64	106	711
65	107	709
66	109	708
67	111	707
68	112	705
69	114	703
70	116	701
71	117	698
72	119	697
73	120	695
74	122	692
75	123	690
76	125	688
77	126	686
78	128	684
79	130	682
80	131	681
81	133	679
82	134	677
83	137	679
84	138	676
85	140	675
86	141	673
87	143	671
88	145	669
89	146	667
90	148	666
91	149	664
92	151	661
93	153	662
94	155	661
95	156	659
96	158	657
97	159	656
98	161	654
99	163	652
100	164	651
101	166	649
102	167	647
103	169	645
104	171	644
105	172	642
106	174	640
107	175	638
108	177	637
109	179	635
110	180	633
111	182	631
112	184	630
113	185	628
114	187	627
115	189	625
116	190	623
117	192	622
118	194	622
119	196	620
120	198	621
121	200	621
122	202	619
123	203	618
124	206	618
125	207	616
126	209	614
127	210	612
128	212	610
129	214	611
130	216	609
131	218	607
132	219	605
133	221	604
134	222	602
135	224	600
136	226	599
137	227	597
138	229	595
139	231	596
140	233	594
141	235	593
142	236	591
143	238	589
144	240	588
145	241	586
146	243	585
147	245	583
148	247	581
149	248	579
150	250	578
151	252	577
152	253	575
153	255	573
154	257	572
155	258	570
156	260	570
157	262	568
158	264	566
159	265	564
160	267	563
161	268	561
162	271	560
163	272	558
164	274	556
165	275	554
166	277	552
167	278	551
168	280	549
169	282	547
170	283	546
171	285	544
172	287	542
173	288	540
174	290	539
175	291	537
176	294	536
177	295	535
178	297	533
179	299	532
180	301	530
181	302	529
182	304	527
183	306	525
184	307	524
185	309	522
186	311	520
187	313	520
188	315	518
189	316	516
190	318	514
191	319	513
192	321	511
193	323	509
194	324	507
195	326	506
196	327	504
197	329	502
198	331	500
199	332	499
200	334	497
201	336	495
202	338	494
203	339	492
204	341	491
205	342	489
206	344	487
207	346	485
208	347	484
209	349	482
210	351	480
211	352	479
212	354	477
213	356	475
214	357	474
215	359	472
216	361	470
217	362	469
218	364	467
219	365	465
220	367	463
221	368	462
222	370	460
223	372	458
224	373	456
225	375	455
226	376	453
227	378	451
228	380	449
229	381	448
230	383	446
231	385	444
232	386	442
233	388	441
234	389	439
235	391	437
236	392	435
237	394	434
238	395	432
239	397	430
240	399	428
241	400	427
242	402	425
243	403	423
244	405	422
245	407	420
246	408	418
247	410	417
248	411	415
249	413	413
250	415	411
251	416	410
252	418	408
253	420	407
254	421	405
255	423	403
256	425	402
257	426	400
258	428	398
259	429	396
260	431	395
261	433	393
262	434	391
263	436	389
264	437	388
265	439	386
266	441	384
267	442	383
268	444	381
269	445	379
270	447	377
271	449	376
272	451	375
273	453	373
274	454	372
275	456	370
